公告日期,净利润,净利润_同比增长,净利润_季度环比增长,净资产收益率,利润分配,每股净资产,每股收益,每股经营现金流量,股票代码,股票简称,营业收入,营业收入_同比增长,营业收入_季度环比增长,销售毛利率
2018-03-08T00:00:00,9139555.53,173.68390255,"""-""",11.25,不分配不转增,1.6830825,0.18,0.2221357,836422,润普食品,211706649.18,33.31037992,"""-""",9.884773
2018-03-08T00:00:00,204851115.98,62.07327477,"""-""",30.52,10派4.53,5.31500512,1.44,0.95180799,834291,中信出版,1271387429.98,30.1206518,"""-""",40.63857228
2018-03-08T00:00:00,10573097.47,82.37936177,"""-""",30.37,不分配不转增,3.3421098,0.88,1.02330616,833387,湖北展朋,65008344.28,79.72795211,"""-""",33.29989537
2018-03-08T00:00:00,37643941.35,-6.25086414,5.6865,9.37,不分配不转增,1.31023138,0.13,0.12402501,833210,兆丰小贷,56963781.46,-5.33895764,15.317,"""-"""
2018-02-28T00:00:00,145084146.13,68.61278914,-34.4765,18.88,10转10派1.5,11.07057701,1.75,2.51932894,300677,英科医疗,1750477627.13,47.95601373,-1.2135,24.91776435
2018-02-28T00:00:00,96938481.59,1.75201158,121.8507,13.79,10派2,4.80856425,0.6188,0.48601127,300590,移为通信,362445850.79,34.16257562,115.4025,52.24498301
2018-02-28T00:00:00,111347272.3,183.32728975,36.0904,32.98,10派3,6.47203102,1.66,0.17930768,300700,岱勒新材,435454577.92,134.82065789,12.3537,48.5575205
2018-02-28T00:00:00,76446395.86,47.88684042,85.9191,20.57,10转4派3,6.8146311,1.12,1.46706798,603127,昭衍新药,301278957.58,24.59572644,75.9163,56.26770959
2018-02-28T00:00:00,196220306.61,42.06846544,27.5341,17.38,10派1.6,5.26591916,0.79,0.42486063,002859,洁美科技,996411464.48,32.25987773,17.6641,40.13266908
2018-02-28T00:00:00,118018875.82,8.52481469,14.1716,12.91,10转3派0.6,3.16555937,0.3576,0.17613607,603826,坤彩科技,469163701.8,14.92272642,7.8926,44.8703876
2018-02-14T00:00:00,143099148.69,157.82404662,5293.9083,2.4,10派0.22,3.00701234,0.07,0.57572691,600190,锦州港,4531496188.64,77.51983508,32.5224,13.36436015
2018-02-14T00:00:00,327948552.15,9.07023549,-33.1731,7.0,10派1.39,6.78099728,0.46,0.21489901,600168,武汉控股,1250921369.14,4.40839584,10.4375,25.47255742
2018-02-13T00:00:00,25939367.16,8.91011651,"""-""",28.95,不分配不转增,1.23681216,0.26,-0.15340184,872438,金恒科技,112541665.33,-24.7995275,"""-""",40.99126632
2018-02-13T00:00:00,4730165.78,-40.60369089,"""-""",7.66,10转4.5,1.80296354,0.13,-0.76165706,870336,众志达,222266468.03,0.86751663,"""-""",9.44515136
2018-02-13T00:00:00,73171415.11,98.24072862,"""-""",17.32,不分配不转增,5.10569195,0.83,-0.36132876,837938,贝斯美,434176514.22,28.45016046,"""-""",36.29584567
2018-02-13T00:00:00,34201762.0,-11.46882384,"""-""",31.34,10派6,2.19107648,0.68,0.96001051,837217,江南传媒,123428385.67,15.82089139,"""-""",43.24306444
2018-01-16T00:00:00,252093444.35,121.77090075,35.2038,"""-""",,8.2754667,1.68,"""-""",603179,新泉股份,3095081462.75,80.90986955,28.2503,24.70526987
2018-01-16T00:00:00,731199000.0,12.44198742,-37.6941,"""-""",,5.76938285,0.5,"""-""",603323,吴江银行,2715683000.0,17.79073222,-3.9937,"""-"""
2018-01-16T00:00:00,240584964.6,378.67178005,-11.7207,"""-""",,4.42771405,0.11,"""-""",600428,中远海特,6508690880.0,10.63237141,-6.8849,17.34672219
2018-01-13T00:00:00,558798921.93,10.64998356,42.895,"""-""",,4.90779524,0.59,"""-""",601952,苏垦农发,4316477131.26,5.68704031,55.3668,19.83607459
2018-01-13T00:00:00,11530000000.0,66.13832853,386.6429,"""-""",,3.00172637,"""-""","""-""",600018,上港集团,37330000000.0,19.0369898,42.5749,33.69943745
2018-01-12T00:00:00,70087088.88,-22.71266009,212.6114,"""-""",,1.56613522,0.19,"""-""",603023,威帝股份,199510208.57,-5.59503947,133.4643,55.50203758
2018-03-06T00:00:00,579008362.17,-0.7086644,128.1874,7.37,10转5派0.25,3.54665873,0.24,0.82649026,002013,中航机电,9232191953.68,8.45472917,66.7134,26.17314629
2018-03-06T00:00:00,2516547383.11,2381.13390947,-30.3766,146.69,不分配不转增,1.2285728,1.0401,1.44989579,000717,韶钢松山,26038268339.0,86.34878758,4.2593,13.2641194
2018-03-06T00:00:00,35000982.43,142.93932677,62.8392,2.95,10派0.4,2.26621363,0.07,-0.48061831,000782,美达股份,3558712443.12,47.0598039,5.4911,8.19110955
2018-03-06T00:00:00,310333510.41,-40.5945715,1576.1877,6.71,10派0.41,6.59818288,0.4274,-0.5436522,000802,北京文化,1321001513.9,42.57202772,1329.2856,48.78300478
2018-03-06T00:00:00,171667021.23,108.08790514,452.5165,22.84,10送3派0.8,1.94622239,0.3983,-0.07056901,000790,泰合健康,590948888.29,2.73901685,26.985,52.62855198
2018-03-06T00:00:00,1411975364.11,68.0422329,124.7159,12.45,10派0.6,4.77987091,0.5704,0.41305664,600094,大名城,10244470545.34,16.88059276,192.4126,30.56971726
